label,url1,url2,url3,url4,url5,url6
Taylor,http://i.dailymail.co.uk/i/pix/2015/10/09/15/2D26EC2A00000578-3266552-image-a-16_1444401437376.jpg,http://images.twistmagazine.com/uploads/photos/file/108096/taylor-swift-selfie-1.jpg?crop=top&fit=clip&h=500&w=698,http://data.whicdn.com/images/94261290/large.jpg,,,
Miley,http://www.eonline.com/eol_images/Entire_Site/2013727/rs_600x600-130827122835-600.Miley-Selfie-Instagram2.mh.082713.jpg,http://i3.cdnds.net/13/44/300x400/screen-shot-2013-11-03-at-082839.png,http://az801229.vo.msecnd.net/wetpaint/2015/05/miley-cyrus-free-the-nipple-instagram-wigs-750x522-1432820579.png,http://i3.mirror.co.uk/incoming/article2847010.ece/ALTERNATES/s615/Miley-Cyrus-gets-her-eyebrows-dyed-after-her-bizarre-bleached-look.jpg,,
Zac,http://img2-1.timeinc.net/people/i/2016/news/160328/zac-efron-800.jpg,http://assets-s3.usmagazine.com/uploads/assets/articles/69744-zac-efron-post-rehab-today-show-interview-best-place-ive-ever-been/1390326247_131584714_zac-efron-zoom.jpg,http://a.abcnews.com/images/Entertainment/ht_celeb_selfie_kab_150728_1x1_1600.jpg,http://images.twistmagazine.com/uploads/images/file/11430/zac-efron-hair.jpg?fit=crop&h=496&w=500,,
Zayn,http://www.mtv.co.uk/sites/default/files/styles/image-w-520-h-520-scale/public/mtv_uk/galleries/large/2015/12/11/zayn004_04.jpg?itok=vxvbowSy,https://s-media-cache-ak0.pinimg.com/236x/46/2a/80/462a808447d589395c35f836d707ecb0.jpg,http://images.sugarscape.com/userfiles/image/AAAAAAAAAAAAAAAFEB2014/Lucy/Week4/240214-zayn4.jpg,http://i1.dailyrecord.co.uk/incoming/article5362788.ece/ALTERNATES/s1227b/Perrie-Edwards-Zayn-Malik.jpg,,
Nev,http://news.mtv.ca/wp-content/uploads/2013/12/MaxNevSelfie.jpg,http://cdn4.teen.com/wp-content/uploads/2013/10/max-nev-selfies-alh-101813.jpg,https://s-media-cache-ak0.pinimg.com/736x/8c/ef/28/8cef28df2599628276fee661f1259b08.jpg,http://static1.squarespace.com/static/4fbc3c1ee4b06fc8a179057f/t/529f2169e4b088b079c2f263/1386160489703/NevBook.jpg?format=300w,,
Kerry,https://4.bp.blogspot.com/-bYaNuVBy0q0/Vu8YFZaJcFI/AAAAAAAAMP8/ybyziyRY8fM_m9PqmVchZIt9hzJOnjw7w/s1600/Scandal%2BActress%252C%2BKerry%2BWashington%2Btakes%2Ba%2BSelfie%2Bwith%2BHer%2BMovado%2BWatch%2BAdvert.jpg,http://a.abcnews.com/images/Entertainment/HT_kerry_washington_ml_150710_1x1_1600.jpg,http://www.eonline.com/resize/600/315//eol_images/Entire_Site/2015119/rs_300x300-150219113226-600-kerry-washington-pizza-oscars.jw.21915.jpg,,,
Barack,http://i.telegraph.co.uk/multimedia/archive/03426/bear_3426448b.jpg,http://media.salon.com/2015/01/barack_obama_sotu3.jpg,https://atomicmonkey.files.wordpress.com/2014/11/screen-shot-2014-11-19-at-12-31-23-pm.png,,,
Ruth,http://static.makers.com/Ruth-Bader-Ginsburg-Eye-Opener.jpg,http://s3-origin-images.politico.com/2013/05/11/130511_ruth_bader_ginsburg_ap_605.jpg,http://www.slate.com/content/dam/slate/articles/double_x/doublex/2015/03/150316_DX_RBG_NotoriousKing.jpg.CROP.original-original.jpg,,,
Ricky,http://i2.esmas.com/galerias/fotos/2015/02/11/m_1aacda5a_e233_f3dd_3baf_055a6aee89d8.jpg,http://www.lovebscott.com/wp-content/uploads/2014/02/article-2554450-1B49063A00000578-226_634x637.jpg,http://www.gaycalgary.com/images/articles/4546_P4ZKSXLU.jpg,http://static.quien.com/media/2014/03/07/ricky.jpg,,
Bey,http://i3.cdnds.net/14/27/618x619/beyonce-instagram-selfie-make-up-free-july-2014.jpg,http://s3-eu-west-1.amazonaws.com/ee-elleuk/Beyonce%CC%81-Selfie-Ultimate-Hack-January-2016-INSTAGRAM-BLOG.jpg,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRJlDwduf60-w7XSPaAWY4mp5QKMFT0y0BpKE0-Bll0g8MjZlTk,,,
Audra,http://img.wennermedia.com/480-width/1406311613_audra-mcdonald-talks-zoom.jpg,https://img.buzzfeed.com/buzzfeed-static/static/2015-04/17/18/enhanced/webdr05/enhanced-21965-1429309716-7.jpg,http://www.sfltimes.com/wp-content/uploads/2015/03/Broadway-legend-Audra-McDonald-brings-musical-style-to-Kravis.jpg,,,
Brit,http://i.perezhilton.com/wp-content/uploads/2016/03/britney-spears-instagram-4__oPt.jpg,http://i.dailymail.co.uk/i/pix/2014/10/27/1414434115226_wps_79_Britney_Spears_wearing_a_.jpg,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRtmsuYBRuhcbJ8XXChSMbeo9YLoruim8eXeDQ5quuNQ9-6LrPm,http://timesofindia.indiatimes.com/photo/12652556.cms,,
Justin,http://theloquitur.com/wp-content/uploads/2015/04/Justin-Timberlake-Curly-Hairstyle.jpg,http://cdn.playbuzz.com/cdn/6f6ee077-76f9-4565-867a-ffb2f049356d/865b366d-fc3c-4b5c-97db-d76c9906d384.jpg,http://cdn.smosh.com/sites/default/files/ftpuploads/bloguploads/1213/frosted-tips-justin-timberlake-2.jpg,http://20.theladbiblegroup.com/s3/content/83dc567957342bfe338fb594ac747051.jpg,,
